Product Name,Stars,Price
"ZD-O (Lite) Wired Gaming Controller for Steam Nintendo Switch,Lapto/PC(Win7-Win10),Android Smartphone Tablet VR TV Box(Black)",Unknown,28.99
Nintendo Switch Lite Console - Gray - with SPSE 128GB Micro SD Card and Adapter,5.0,Unknown
"Nintendo Switch Bundle: 32GB Console Red and Blue Joy-Con, Nintendo Switch Wheel (set of 2), Deluxe Travel Case and Mario Kart 8 Deluxe Edition Video Game",4.5,679.99
Nintendo 32GB Switch with Neon Blue & Neon Red Joy-Con Controllers - with SanDisk 128GB UHS-I microSDXC Memory Card for The Switch,2.2,529.00
"Nintendo Switch 3 items Game Bundle:Nintendo Switch 32GB Console Gray Joy-con,64GB Micro SD Memory Card and The Legend of Zelda: Breath of the Wild Game Disk",5.0,679.99
"Wireless Switch Pro Controller for Switch/Switch Lite, YCCTEAM 1200mAh Built-in Rechargeable Battery Remote Pro Controller Gamepad Joystick for Switch Console, Support Screenshot and Twitch Movement",4.1,35.99
"LETTON Stereo Gaming Headset for PS4, PC, Xbox One Controller, Noise Cancelling Over Ear Headphones with Mic, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo Switch Games (L1)",4.7,29.99
Orzly Case for Nintendo Switch Lite - Portable Travel Carry Case with storage for Switch Lite Games & Accessories [Yellow],4.8,14.99
Orzly Carry Case Compatible With Nintendo Switch - RED Protective Hard Portable Travel Carry Case Shell Pouch for Nintendo Switch Console & Accessories,4.8,19.99
"AC Adapter Charger for Nintendo Switch, YCCTEAM Switch Charger AC Adapter Power Supply 15V 2.6A Fast Charging Kit for Switch Dock /Switch Lite and Pro Controller (Support TV Mode),Black",4.6,31.98
Hori Nintendo Switch Mario Kart Racing Wheel Pro Mini By - Officially Licensed By Nintendo - Nintendo Switch,4.3,69.99
Super Mario Maker 2 - Nintendo Switch,4.8,Unknown
"Charger for Nintendo Switch, YCCTEAM Switch Charger AC Adapter 15V/2.6A Fast Charging Replacement for Nintendo Switch/Switch Lite with 5FT Type C Cable, Support TV Mode and Dock",4.6,28.54
Clubhouse Games: 51 Worldwide Classics - Nintendo Switch,4.2,39.99
Super Smash Bros - Ultimate (Nintendo Switch),4.8,Unknown
"Wireless Pro Controller for Nintendo Switch Support Amiibo - OUBANG Switch Remote Gamepad with NFC and Awakening Function,Support Gyro Axis,Turbo and Dual Vibration",4.3,23.99
"Switch Pro Controller, TechKen Bluetooth Pro Controller Compatible with Nintendo Switch, New Blue",3.9,21.88
PowerA Joy Con Comfort Grips for Nintendo Switch - Black,4.6,9.88
Legend of Zelda Link's Awakening - Nintendo Switch,4.8,Unknown
"Case for Nintendo Switch Lite, OIVO Ergonomic TPU Protective Grip Cover for Nintendo Switch Lite- 1× HD Glass Screen Protector Included",4.6,13.99
Sonic Forces (Nintendo Switch),4.6,36.99
LEGO Harry Potter: Collection - Nintendo Switch,4.7,24.88
"Nintendo Switch 3 items Game Bundle:Nintendo Switch 32GB Console Gray Joy-con,64GB Micro SD Memory Card and The Legend of Zelda: Breath of the Wild Game Disc",3.9,649.99
Super Smash Bros. for Nintendo 3DS Gameplay,5.0,Unknown
PowerA Pokemon Enhanced Wireless Controller for Nintendo Switch - Scorbunny,4.4,48.99
TechKen XB Pro Controller Compatible with Nintendo Switch and Nintendo Switch Lite,4.5,30.97
"Switch Dock with Ethernet, LAN Port Nintendo Switch Docking Station Centeni Portable Nintendo Dock Connect to TV via HDMI Automatically - Replacement Charging Stand Dock for Nintendo Switch",3.7,39.99
Nintendo Switch Zelda Sheikah Eye Carrying Case – Protective Deluxe Travel Case – Koskin Leather with Embossed Zelda Breath of The Wild Art – Official Nintendo Licensed Product,4.7,19.99
"Wireless Switch Pro Controller for Switch/Switch Lite, YCCTEAM 1200mAh Built-in Rechargeable Battery Remote Pro Controller Gamepad Joystick for Switch Console, Support Screenshot and Twitch Movement",4.1,35.99
"Controller Gear Authentic and Officially Licensed Animal Crossing: New Horizons - ""Timmy & Tommy"" Nintendo Switch Lite Skin",4.4,9.99
Orzly Carry Case Compatible With Nintendo Switch - NEON YELLOW Protective Hard Portable Travel Carry Case Shell Pouch for Nintendo Switch Console & Accessories,4.7,19.99
"VR Headset for Nintendo Switch, OIVO 3D VR (Virtual Reality) Glasses, Labo Goggles Headset for Nintendo Switch",3.2,18.99
Dr Kawashima's Brain Training (Nintendo Switch),4.3,39.99
BioShock: The Collection,4.0,49.94
"Funlab Ultra Slim Carrying Case for Nintendo Switch Console,Portable Leather Clutch with Game Card Cartridges Pouch",4.8,19.99
"OIVO Switch Pro Controller Clip Mount for Nintendo Switch/Switch Lite, Adjustable Clip Clamp Holder Mount for Nintendo Switch Pro Controller",4.2,16.99
HORI Nintendo Switch Real Arcade Pro - Street Fighter™ Edition (Ryu) Officially Licensed by Nintendo & Capcom,4.8,169.00
"ZD-O (Lite) Wired Gaming Controller for Steam Nintendo Switch,Lapto/PC(Win7-Win10),Android Smartphone Tablet VR TV Box(Red)",Unknown,28.99
"ZD-O (Lite) Wired Gaming Controller for Steam Nintendo Switch,Lapto/PC(Win7-Win10),Android Smartphone Tablet VR TV Box(Blue)",Unknown,28.99
HORI Game Card Case 24 for Nintendo Switch Officially Licensed by Nintendo,4.8,9.88
Nintendo Switch Lite DuraFlexi Protector (Clear) By HORI - Officially Licensed by Nintendo,4.8,Unknown
SanDisk 128GB microSDXC UHS-I Card for Nintendo Switch - SDSQXBO-128G-AWCZA,4.8,Unknown
Officially Licensed Nintendo Switch GripStand – Comfortable & Ergonomic – Cleaning Cloth,4.5,11.99
FIFA 20 (Nintendo Switch),4.7,33.00
"Taiko no Tatsujin controller ""Taiko and Stick for Nintendo Switch"" Japanese ver.",4.5,96.99
Instant Sports - Nintendo Switch,4.1,29.99
Xenoblade Chronicles: Definitive Edition - Nintendo Switch,4.8,59.99
"ZD-O (Lite) Wired Gaming Controller for Steam Nintendo Switch,Lapto/PC(Win7-Win10),Android Smartphone Tablet VR TV Box(Black)",Unknown,28.99
"Wireless Pro Controller for Nintendo Switch Support Amiibo - OUBANG Switch Remote Gamepad with NFC and Awakening Function,Support Gyro Axis,Turbo and Dual Vibration",4.3,23.99
Nintendo Switch Lite - Gray,4.8,Unknown
Nintendo Switch Lite - Coral - Switch,4.8,Unknown
Nintendo Switch with Neon Blue and Neon Red Joy‑Con - HAC-001(-01),4.7,Unknown
Nintendo Switch Lite - Turquoise,4.6,Unknown
Nintendo Switch w/ Gray Joy-Con + Mario Kart 8 Deluxe (Full Game Download) - Switch,4.7,Unknown
Nintendo Switch with Neon Blue and Neon Red Joy‑Con HAC-001 w/ Mario Kart 8 Deluxe,4.6,Unknown
Nintendo Switch – Neon Red and Neon Blue Joy-Con - HAC 001 (Discontinued by Manufacturer),4.7,Unknown
Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,3.7,Unknown
XP Wireless Controller Compatible with Nintendo Switch and Nintendo Switch Lite,4.5,30.97
MEQI Carrying Case Compatible with Nintendo Switch - Protective Hard Shell Slim Travel Carry Pouch -10 Game Cartridge Holders Portable Game Case for Nintendo Switch Console & Accessories - Gray,4.6,24.59
Nintendo Switch w/ Neon Blue & Neon Red Joy-Con + Mario Kart 8 Deluxe (Full Game Download) - Switch,4.6,Unknown
Nintendo Switch Pro Controller,4.8,Unknown
Nintendo Switch with Gray Joy‑Con - HAC-001(-01),4.7,Unknown
SanDisk 128GB MicroSDXC UHS-I Memory Card for Nintendo Switch - SDSQXAO-128G-GNCZN,4.8,27.99
Animal Crossing: New Horizons - Nintendo Switch,4.7,Unknown
Nintendo Switch Lite - Grey,5.0,272.00
Nintendo Switch Lite - Yellow,4.6,Unknown
Mario Kart 8 Deluxe - Nintendo Switch,4.9,Unknown
"Wireless Switch Pro Controller for Switch/Switch Lite, YCCTEAM 1200mAh Built-in Rechargeable Battery Remote Pro Controller Gamepad Joystick for Switch Console, Support Screenshot and Twitch Movement",4.1,35.99
"Switch Dock with Ethernet, LAN Port Nintendo Switch Docking Station Centeni Portable Nintendo Dock Connect to TV via HDMI Automatically - Replacement Charging Stand Dock for Nintendo Switch",3.7,39.99
Race with Ryan - Nintendo Switch,4.4,33.88
PDP 500-132-NA Afterglow Deluxe + Audio Wired Controller for Nintendo Switch,4.4,23.99
"ZIOCOM Bluetooth Adapter Audio Transmitter for Nintendo Switch,USB C Connector Low Latency,Support in-Game Voice and Two Devices,Compatible with AirPods PS4 Bose Sony and Bluetooth Headphones",4.2,23.99
Nintendo Switch Wireless HORIPAD (Blue) by HORI - Officially Licensed by Nintendo,4.3,49.99
"HEYSTOP Case for Nintendo Switch, 6 in 1 Nintendo Switch Case Come with 2 Joy-con Grips for Nintendo Switch, Adjustable PlayStand, Tempered Glass Screen Protector with 6 Thumb Grip Caps",4.8,25.99
Carnival Games   Nintendo Switch,4.3,18.37
"Wireless Switch Pro Controller for Switch/Switch Lite, YCCTEAM 1200mAh Built-in Rechargeable Battery Remote Pro Controller Gamepad Joystick for Switch Console, Support Screenshot and Twitch Movement",4.1,35.99
$45 Nintendo eShop Gift Card [Digital Code],4.7,45.00
"Wireless Pro Controller for Nintendo Switch Support Amiibo - OUBANG Switch Remote Gamepad with NFC and Awakening Function,Support Gyro Axis,Turbo and Dual Vibration",4.3,23.99
"Switch Pro Controller, TechKen Bluetooth Pro Controller Compatible with Nintendo Switch, New Blue",3.9,21.88
Nintendo Switch Dual USB Playstand By HORI - Officially Licensed by Nintendo,4.2,29.99
Gigantosaurus The Game for Nintendo Switch - Nintendo Switch,4.3,29.83
PowerA Everywhere Messenger Bag for Nintendo Switch,4.8,34.99
Mario + Rabbids Kingdom Battle - Unofficial Guide / Walkthrough (Illustrated) Nintendo Switch: Nintendo Switch Collectors Edition Guide,Unknown,0.00
Super Mario Party - Nintendo Switch [Digital Code],4.7,41.99
"DELAM Joy Con Controller Replacement for Nintendo Switch, L/R Joycon Pad with Wrist Strap, Alternatives for Nintendo Switch Controllers, Wired/Wireless Switch Remotes - Red and Blue",5.0,40.99
Nintendo Switch Dock Set,4.7,Unknown
"Orzly Grip Case for Nintendo Switch Lite – Case with Comfort Padded Hand Grips, Kickstand, Pack of Thumb Grips - Pink",4.8,14.49
TechKen XB Pro Controller Compatible with Nintendo Switch and Nintendo Switch Lite,4.5,30.97
"ZD-O (Lite) Wired Gaming Controller for Steam Nintendo Switch,Lapto/PC(Win7-Win10),Android Smartphone Tablet VR TV Box(Black)",Unknown,28.99
"Wireless Switch Pro Controller for Switch/Switch Lite, YCCTEAM 1200mAh Built-in Rechargeable Battery Remote Pro Controller Gamepad Joystick for Switch Console, Support Screenshot and Twitch Movement",4.1,35.99
"LETTON Stereo Gaming Headset for PS4, PC, Xbox One Controller, Noise Cancelling Over Ear Headphones with Mic, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo Switch Games (L1)",4.7,29.99
Nintendo Switch Lite - Zacian and Zamazenta Edition,4.8,Unknown
Super Smash Bros. Ultimate,4.8,Unknown
Luigi's Mansion 3 - Nintendo Switch,4.8,59.95
Nintendo Joy-Con (L/R) - Neon Red/Neon Blue,4.7,Unknown
"Nintendo Switch Lite, Gray - with SanDisk 128GB UHS-I microSDXC Memory Card for The Switch",3.9,Unknown
Nintendo Switch High Speed Car Charger by HORI Officially Licensed by Nintendo,4.8,9.88
Nintendo Animal Crossing: New Horizons - Nintendo Switch,4.7,Unknown
Nintendo Blue/ Neon Yellow Joy-Con (L-R) - Switch,4.7,Unknown
"Wireless Pro Controller for Nintendo Switch Support Amiibo - OUBANG Switch Remote Gamepad with NFC and Awakening Function,Support Gyro Axis,Turbo and Dual Vibration",4.3,23.99
XP Wireless Controller Compatible with Nintendo Switch and Nintendo Switch Lite,4.5,30.97
$50 Nintendo eShop Gift Card [Digital Code],4.7,50.00
Minecraft (Nintendo Switch),4.7,30.02
Nintendo Switch - Gray Joy-Con - HAC 001 (Discontinued by Manufacturer),4.7,Unknown
"Kinvoca Joy Con Controller Replacement for Nintendo Switch, L/R Joycon Pad with Wrist Strap, Alternatives for Nintendo Switch Controllers, Wired/Wireless Switch Remotes - Red and Blue",3.6,45.99
$99 Nintendo eShop Gift Card [Digital Code],4.7,99.00
PowerA Enhanced Wireless Controller for Nintendo Switch - White,4.4,Unknown
"Switch Accessories Bundle - Orzly Geek Pack for Nintendo Switch: Case & Screen Protector, Joycon Grips & Racing Wheels, Switch Controller Charge Dock, Comfort Grip Case & More - JetBlack",4.7,54.99
New Super Mario Bros U Deluxe - Nintendo Switch [Digital Code],4.8,41.99
"Exlene Wireless Gamecube Controller Switch, Compatible with Nintendo Switch and PC, Rechargeable, Motion Controls, Rumble, Turbo (Bluetooth Version)",4.0,36.99
"Switch Dock with Ethernet, LAN Port Nintendo Switch Docking Station Centeni Portable Nintendo Dock Connect to TV via HDMI Automatically - Replacement Charging Stand Dock for Nintendo Switch",3.7,39.99
"Wireless Switch Pro Controller for Switch/Switch Lite, YCCTEAM 1200mAh Built-in Rechargeable Battery Remote Pro Controller Gamepad Joystick for Switch Console, Support Screenshot and Twitch Movement",4.1,35.99
"UL Listed Delippo 61W/65W USB Type C Power Delivery Fast Charging Wall Charger for Apple MacBook/Pro, Samsung,Nexus,Nintendo Switch,Lenovo,ASUS,Acer,Dell,Xiaomi Air",4.1,19.59
Nintendo Switch USB-C Wireless HORIPAD (Zelda) By HORI - Officially Licensed By Nintendo,4.3,49.99
"Controller Gear Aunthentic & Officially Licensed Animal Crossing: New Horizon - ""Timmy & Tommy"" Nintendo Switch Skin Bundle",4.7,19.99
Super Street Racer - Nintendo Switch,4.3,Unknown
PDP 500-100-NA-D5 Nintendo Switch Super Mario Bros Princess Peach GameCube Style Wired Fight Pad Pro Controller,4.5,24.99
"UKor Switch TV Dock, Portable Charging Stand for Nintendo Switch,Compact Switch to HDMI Adapter,Mini Switch Docking Station with Extra USB 3.0 Port, Replacement Charging Dock for Nintendo Switch",4.0,27.98
WB Games Lego City Undercover - Nintendo Switch,4.7,15.49
"Syncwire Nintendo Switch Screen Protector Tempered Glass [2 Pack] Transparent HD Clear Screen Protector for Nintendo Switch [Anti-Scratch, Anti-Fingerprint, Shatterproof, Bubble-Free]",4.6,10.99
AmazonBasics Playstand for Nintendo Switch - Black,4.6,9.09
"LETTON Stereo Gaming Headset for PS4, PC, Xbox One Controller, Noise Cancelling Over Ear Headphones with Mic, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo Switch Games (L1)",4.7,29.99
"Wireless Pro Controller for Nintendo Switch Support Amiibo - OUBANG Switch Remote Gamepad with NFC and Awakening Function,Support Gyro Axis,Turbo and Dual Vibration",4.3,23.99
PowerA Stealth Case Kit for Nintendo Switch Lite - Pokemon Battle - Nintendo Switch,4.8,9.99
